iter	Passed	Remaining
0	99	99684
1	121	60490
2	147	48921
3	171	42624
4	199	39720
5	229	38028
6	251	35722
7	266	33084
8	278	30644
9	287	28473
10	297	26719
11	304	25069
12	311	23684
13	318	22415
14	325	21372
15	331	20392
16	338	19565
17	344	18798
18	350	18098
19	356	17482
20	363	16945
21	369	16417
22	375	15958
23	380	15490
24	385	15051
25	393	14731
26	399	14382
27	404	14049
28	410	13746
29	416	13464
30	422	13193
31	427	12924
32	432	12675
33	438	12454
34	443	12235
35	448	12023
36	455	11845
37	460	11661
38	465	11482
39	472	11339
40	479	11210
41	485	11076
42	492	10961
43	497	10816
44	504	10697
45	509	10568
46	515	10448
47	521	10335
48	526	10216
49	531	10096
50	536	9989
51	542	9885
52	547	9779
53	552	9683
54	558	9589
55	563	9494
56	569	9415
57	576	9356
58	581	9268
59	587	9202
60	592	9117
61	597	9042
62	603	8982
63	610	8925
64	615	8855
65	622	8808
66	627	8737
67	632	8668
68	637	8608
69	643	8545
70	648	8483
71	654	8435
72	659	8376
73	664	8320
74	672	8291
75	677	8242
76	684	8204
77	690	8161
78	696	8115
79	704	8096
80	709	8053
81	715	8015
82	721	7972
83	727	7934
84	733	7898
85	739	7857
86	745	7819
87	752	7795
88	757	7757
89	763	7723
90	770	7700
91	776	7668
92	783	7639
93	789	7610
94	795	7579
95	801	7550
96	806	7510
97	812	7477
98	818	7451
99	824	7416
100	830	7389
101	835	7354
102	840	7319
103	846	7289
104	852	7263
105	857	7233
106	863	7205
107	869	7185
108	875	7153
109	881	7130
110	887	7106
111	893	7083
112	900	7067
113	905	7037
114	911	7011
115	916	6985
116	921	6956
117	927	6934
118	933	6912
119	939	6888
120	945	6868
121	952	6851
122	957	6826
123	965	6821
124	974	6820
125	983	6820
126	993	6826
127	1008	6869
128	1023	6909
129	1040	6961
130	1070	7103
131	1106	7274
132	1125	7340
133	1140	7369
134	1163	7457
135	1187	7544
136	1211	7630
137	1267	7918
138	1287	7975
139	1298	7974
140	1318	8032
141	1329	8035
142	1338	8022
143	1348	8018
144	1379	8136
145	1407	8231
146	1432	8309
147	1449	8342
148	1462	8352
149	1491	8449
150	1509	8489
151	1537	8577
152	1549	8579
153	1559	8569
154	1567	8543
155	1576	8526
156	1583	8500
157	1589	8468
158	1594	8434
159	1599	8397
160	1605	8368
161	1611	8338
162	1617	8305
163	1622	8270
164	1629	8247
165	1635	8218
166	1642	8191
167	1654	8191
168	1667	8200
169	1679	8198
170	1698	8232
171	1724	8299
172	1749	8363
173	1768	8396
174	1792	8450
175	1816	8505
176	1844	8574
177	1882	8692
178	1898	8708
179	1917	8734
180	1933	8747
181	1945	8744
182	1957	8739
183	1966	8722
184	1980	8722
185	1998	8744
186	2015	8761
187	2033	8781
188	2063	8853
189	2104	8972
190	2139	9064
191	2174	9152
192	2190	9160
193	2206	9166
194	2230	9207
195	2271	9316
196	2291	9338
197	2311	9362
198	2329	9376
199	2345	9382
200	2355	9365
201	2366	9349
202	2375	9326
203	2383	9302
204	2391	9275
205	2400	9253
206	2409	9230
207	2419	9213
208	2432	9206
209	2443	9190
210	2456	9184
211	2465	9164
212	2473	9140
213	2482	9116
214	2489	9090
215	2499	9072
216	2510	9059
217	2522	9050
218	2538	9051
219	2549	9039
220	2559	9021
221	2569	9004
222	2577	8979
223	2586	8960
224	2595	8938
225	2602	8913
226	2610	8890
227	2618	8866
228	2626	8843
229	2635	8823
230	2643	8801
231	2651	8778
232	2659	8755
233	2669	8737
234	2678	8718
235	2685	8692
236	2693	8670
237	2700	8645
238	2709	8626
239	2716	8602
240	2724	8580
241	2733	8560
242	2744	8550
243	2751	8526
244	2760	8506
245	2767	8483
246	2777	8466
247	2784	8444
248	2793	8425
249	2800	8400
250	2808	8382
251	2816	8360
252	2825	8342
253	2834	8324
254	2843	8308
255	2851	8285
256	2859	8267
257	2865	8241
258	2872	8219
259	2877	8190
260	2884	8168
